,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Tommy Davis 53 yard field goal,0,3
1,1.0,49ers,Don Lisbon 39 yard pass from John Brodie (Tommy Davis kick),0,10
2,2.0,49ers,Dave Parks 43 yard pass from John Brodie (Tommy Davis kick),0,17
3,2.0,Bears,Johnny Morris 55 yard pass from Billy Wade (Bob Jencks kick),7,17
4,2.0,49ers,Monty Stickles 25 yard pass from John Brodie (Tommy Davis kick),7,24
5,3.0,Bears,Rich Kreitling 16 yard pass from Billy Wade (Bob Jencks kick),14,24
6,3.0,Bears,Johnny Morris 10 yard pass from Billy Wade (Bob Jencks kick),21,24
7,4.0,49ers,Mike Lind 1 yard rush (Tommy Davis kick),21,31
