,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Boyd Dowler 78 yard pass from Bart Starr (Paul Hornung kick),7,0
1,1.0,Packers,Paul Hornung 14 yard field goal,10,0
2,2.0,Vikings,Fran Tarkenton 1 yard rush (Mike Mercer kick),10,7
3,2.0,Packers,Paul Hornung 18 yard field goal,13,7
4,3.0,Packers,Paul Hornung 13 yard field goal,16,7
5,4.0,Packers,Paul Hornung 16 yard field goal,19,7
6,4.0,Packers,Jim Taylor 3 yard rush (Paul Hornung kick),26,7
7,4.0,Packers,Dan Currie 21 yard interception return (Paul Hornung kick),33,7
