,Quarter,Tm,Detail,MIA,SDG
0,1.0,Dolphins,Jim Braxton 2 yard rush (Garo Yepremian kick),7,0
1,2.0,Dolphins,Loaird McCreary 5 yard pass from Don Strock (Garo Yepremian kick),14,0
2,2.0,Chargers,Lydell Mitchell 22 yard pass from Dan Fouts (Rolf Benirschke kick),14,7
3,2.0,Dolphins,Jim Braxton 1 yard rush (Garo Yepremian kick),21,7
4,3.0,Chargers,Lydell Mitchell 1 yard rush (Rolf Benirschke kick),21,14
5,3.0,Dolphins,Nat Moore 12 yard pass from Bob Griese (Garo Yepremian kick),28,14
6,3.0,Chargers,Lydell Mitchell 1 yard rush (Rolf Benirschke kick),28,21
