,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,Bill Osmanski 68 yard rush (Jack Manders kick),7,0
1,1.0,Bears,Sid Luckman 1 yard rush (Bob Snyder kick),14,0
2,1.0,Bears,Joe Maniaci 42 yard rush (Phil Martinovich kick),21,0
3,2.0,Bears,Ken Kavanaugh 30 yard pass from Sid Luckman (Bob Snyder kick),28,0
4,3.0,Bears,Hampton Pool 15 yard interception return (Dick Plasman kick),35,0
5,3.0,Bears,Ray Nolting 23 yard rush,41,0
6,3.0,Bears,George McAfee 34 yard interception return (Joe Stydahar kick),48,0
7,3.0,Bears,Bulldog Turner 24 yard interception return,54,0
8,4.0,Bears,Harry Clarke 44 yard rush,60,0
9,4.0,Bears,Gary Famiglietti 2 yard rush (Joe Maniaci pass from Solly Sherman),67,0
10,4.0,Bears,Harry Clarke 1 yard rush (pass failed),73,0
