,Quarter,Tm,Detail,OAK,SDG
0,1.0,Chargers,Dennis Partee 25 yard field goal,0,3
1,1.0,Raiders,Larry Todd 48 yard pass from Daryle Lamonica (George Blanda kick),7,3
2,2.0,Raiders,Warren Wells 16 yard pass from Daryle Lamonica (George Blanda kick),14,3
3,2.0,Chargers,Dennis Partee 46 yard field goal,14,6
4,3.0,Raiders,Roger Hagberg 15 yard pass from Daryle Lamonica (George Blanda kick),21,6
5,4.0,Chargers,Lance Alworth 3 yard pass from John Hadl (pass failed),21,12
6,4.0,Raiders,George Blanda 28 yard field goal,24,12
