,Quarter,Time,Tm,Detail,TEN,PHI
0,1.0,10:48,Eagles,David Akers 23 yard field goal,0,3
1,2.0,10:46,Titans,Al Del Greco 26 yard field goal,3,3
2,2.0,1:30,Titans,Al Del Greco 42 yard field goal,6,3
3,2.0,0:18,Eagles,David Akers 40 yard field goal,6,6
4,3.0,8:23,Titans,Al Del Greco 22 yard field goal,9,6
5,4.0,5:23,Titans,Al Del Greco 44 yard field goal,12,6
6,4.0,3:11,Eagles,Donovan McNabb 2 yard rush (David Akers kick),12,13
7,4.0,0:00,Titans,Al Del Greco 50 yard field goal,15,13
