,Quarter,Tm,Detail,PHI,SFO
0,1.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),0,7
1,2.0,49ers,Joe Perry 5 yard rush (Tommy Davis kick),0,14
2,3.0,49ers,R.C. Owens 10 yard pass from Y.A. Tittle (Tommy Davis kick),0,21
3,4.0,Eagles,Bobby Walston 6 yard pass from Norm Van Brocklin (Bobby Walston kick),7,21
4,4.0,49ers,Tommy Davis 43 yard field goal,7,24
5,4.0,Eagles,Dick Bielski 19 yard pass from Norm Van Brocklin (Dick Bielski kick),14,24
