,Quarter,Time,Tm,Detail,HOU,TEN
0,1.0,1:25,Texans,Neil Rackers 32 yard field goal,3,0
1,2.0,7:24,Texans,Joel Dreessen 10 yard pass from Matt Schaub (Neil Rackers kick),10,0
2,2.0,3:53,Texans,Arian Foster 78 yard pass from Matt Schaub (Neil Rackers kick),17,0
3,2.0,0:00,Texans,Neil Rackers 29 yard field goal,20,0
4,3.0,9:06,Texans,Arian Foster 1 yard rush (Neil Rackers kick),27,0
5,3.0,5:34,Titans,Jared Cook 5 yard pass from Matt Hasselbeck (Rob Bironas kick),27,7
6,4.0,9:51,Texans,Arian Foster 5 yard rush (Neil Rackers kick),34,7
7,4.0,9:28,Texans,Brice McCain 38 yard interception return (Neil Rackers kick),41,7
