,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,Dicky Moegle 3 yard rush (Gordie Soltau kick),0,7
1,1.0,Colts,Gary Kerkorian 30 yard field goal,3,7
2,2.0,49ers,Billy Wilson 10 yard pass from Y.A. Tittle (Gordie Soltau kick),3,14
3,2.0,49ers,Joe Arenas 39 yard pass from Y.A. Tittle (Gordie Soltau kick),3,21
4,2.0,49ers,Hugh McElhenny 13 yard rush (Gordie Soltau kick),3,28
5,3.0,49ers,Hugh McElhenny 1 yard rush (Gordie Soltau kick),3,35
6,3.0,Colts,Jim Mutscheller 33 yard pass from George Shaw (Bert Rechichar kick),10,35
7,4.0,Colts,George Shaw 14 yard rush (Bert Rechichar kick),17,35
8,4.0,Colts,Lloyd Colteryahn 1 yard pass from George Shaw (Bert Rechichar kick),24,35
