,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,0:27,Ravens,Owen Daniels 2 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,2.0,8:01,Ravens,Justin Tucker 30 yard field goal,0,10
2,2.0,2:50,Steelers,Shaun Suisham 25 yard field goal,3,10
3,3.0,10:30,Steelers,Shaun Suisham 43 yard field goal,6,10
4,3.0,3:58,Ravens,Owen Daniels 1 yard pass from Joe Flacco (Justin Tucker kick),6,17
5,4.0,14:11,Ravens,Justin Tucker 23 yard field goal,6,20
6,4.0,11:14,Ravens,Justin Tucker 22 yard field goal,6,23
7,4.0,4:31,Ravens,Justin Tucker 20 yard field goal,6,26
