,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Nick Lowery 32 yard field goal,3,0
1,2.0,Broncos,David Treadwell 39 yard field goal,3,3
2,2.0,Broncos,David Treadwell 30 yard field goal,3,6
3,2.0,Chiefs,Nick Lowery 48 yard field goal,6,6
4,2.0,Broncos,Derek Russell 22 yard pass from John Elway (David Treadwell kick),6,13
5,3.0,Chiefs,Nick Lowery 25 yard field goal,9,13
6,3.0,Broncos,David Treadwell 25 yard field goal,9,16
7,4.0,Chiefs,Harvey Williams 14 yard rush (Nick Lowery kick),16,16
8,4.0,Broncos,David Treadwell 27 yard field goal,16,19
