,Quarter,Time,Tm,Detail,NYG,DET
0,1,,Giants,Howard Cross 2 yard pass from Danny Kanell (Brad Daluiso kick),7,0
1,2,,Lions,Jason Hanson 22 yard field goal,7,3
2,2,,Lions,Barry Sanders 8 yard rush (Jason Hanson kick),7,10
3,2,,Giants,Brad Daluiso 52 yard field goal,10,10
4,3,,Giants,Amani Toomer 53 yard punt return (Brad Daluiso kick),17,10
5,3,,Lions,Jason Hanson 28 yard field goal,17,13
6,4,,Giants,Brad Daluiso 47 yard field goal,20,13
7,4,,Lions,Johnnie Morton 4 yard pass from Scott Mitchell (Jason Hanson kick),20,20
8,OT,,Giants,Chris Calloway 68 yard pass from Danny Kanell,26,20
