,Quarter,Time,Tm,Detail,NYJ,WAS
0,2.0,,Redskins,Scott Blanton 28 yard field goal,0,3
1,2.0,,Jets,Adrian Murrell 9 yard rush (Nick Lowery kick),7,3
2,2.0,,Jets,Nick Lowery 26 yard field goal,10,3
3,2.0,,Redskins,Leslie Shepherd 12 yard rush (Scott Blanton kick),10,10
4,2.0,,Jets,Nick Lowery 35 yard field goal,13,10
5,3.0,,Redskins,Terry Allen 8 yard rush (Scott Blanton kick),13,17
6,3.0,,Jets,Nick Lowery 33 yard field goal,16,17
7,4.0,2:21,Redskins,Leslie Shepherd 52 yard pass from Gus Frerotte (Scott Blanton kick),16,24
8,4.0,2:21,Redskins,Terry Allen 28 yard rush (Scott Blanton kick),16,31
