,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Ken Lacy 24 yard rush (Nick Lowery kick),0,7
1,1.0,Chargers,Benny Ricardo 38 yard field goal,3,7
2,1.0,Chiefs,Nick Lowery 22 yard field goal,3,10
3,2.0,Chargers,Benny Ricardo 42 yard field goal,6,10
4,3.0,Chargers,Gill Byrd 99 yard interception return (Benny Ricardo kick),13,10
5,3.0,Chiefs,Stephone Paige 18 yard pass from Bill Kenney (Nick Lowery kick),13,17
6,4.0,Chiefs,Ed Beckman 5 yard pass from Bill Kenney (Nick Lowery kick),13,24
7,4.0,Chiefs,Herman Heard 69 yard rush (Nick Lowery kick),13,31
