,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Tony Dorsett 7 yard pass from Gary Hogeboom (Rafael Septien kick),7,0
1,2.0,Eagles,Paul McFadden 39 yard field goal,7,3
2,3.0,Eagles,Paul McFadden 33 yard field goal,7,6
3,3.0,Cowboys,Tony Dorsett 10 yard rush (Rafael Septien kick),14,6
4,4.0,Eagles,Paul McFadden 36 yard field goal,14,9
5,4.0,Eagles,Kenny Jackson 36 yard pass from Ron Jaworski (Paul McFadden kick),14,16
