,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Uwe von Schamann 28 yard field goal,3,0
1,1.0,Patriots,Tony Franklin 48 yard field goal,3,3
2,2.0,Dolphins,Pete Johnson 1 yard rush (Uwe von Schamann kick),10,3
3,2.0,Patriots,Clarence Weathers 14 yard pass from Tony Eason (Tony Franklin kick),10,10
4,2.0,Dolphins,Nat Moore 19 yard pass from Dan Marino,16,10
5,3.0,Dolphins,Dan Johnson 5 yard pass from Dan Marino (Uwe von Schamann kick),23,10
6,3.0,Patriots,Stanley Morgan 76 yard pass from Tony Eason (Tony Franklin kick),23,17
7,3.0,Dolphins,Mark Clayton 15 yard pass from Dan Marino (Uwe von Schamann kick),30,17
8,4.0,Patriots,Derrick Ramsey 5 yard pass from Tony Eason (Tony Franklin kick),30,24
9,4.0,Dolphins,Nat Moore 15 yard pass from Dan Marino (Uwe von Schamann kick),37,24
10,4.0,Dolphins,Pete Johnson 3 yard rush (Uwe von Schamann kick),44,24
