,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,4:56,Packers,Greg Jennings 16 yard pass from Brett Favre (Mason Crosby kick),7,0
1,2.0,5:19,Vikings,Ryan Longwell 44 yard field goal,7,3
2,2.0,1:56,Vikings,Ryan Longwell 35 yard field goal,7,6
3,2.0,0:02,Packers,Mason Crosby 28 yard field goal,10,6
4,3.0,6:04,Packers,Mason Crosby 44 yard field goal,13,6
5,3.0,3:18,Vikings,Ryan Longwell 48 yard field goal,13,9
6,4.0,12:44,Packers,Mason Crosby 33 yard field goal,16,9
7,4.0,5:46,Packers,James Jones 33 yard pass from Brett Favre (Mason Crosby kick),23,9
8,4.0,1:55,Vikings,Sidney Rice 15 yard pass from Kelly Holcomb (Ryan Longwell kick),23,16
