,Quarter,Tm,Detail,BUF,MIA
0,2.0,Dolphins,Sammie Smith 2 yard rush (Pete Stoyanovich kick),0,7
1,2.0,Dolphins,Pete Stoyanovich 23 yard field goal,0,10
2,2.0,Dolphins,Pete Stoyanovich 29 yard field goal,0,13
3,2.0,Dolphins,Pete Stoyanovich 48 yard field goal,0,16
4,3.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),0,23
5,4.0,Dolphins,Tony Paige 17 yard pass from Dan Marino (Pete Stoyanovich kick),0,30
6,4.0,Bills,Larry Kinnebrew 1 yard rush (Scott Norwood kick),7,30
