,Quarter,Tm,Detail,MIN,DET
0,2.0,Vikings,D.J. Dozier 20 yard pass from Wade Wilson (Chuck Nelson kick),7,0
1,2.0,Lions,Pete Mandley 4 yard pass from Chuck Long (Eddie Murray kick),7,7
2,2.0,Vikings,Chuck Nelson 22 yard field goal,10,7
3,4.0,Vikings,Wade Wilson 2 yard rush (Chuck Nelson kick),17,7
4,4.0,Lions,Garry James 16 yard rush (Eddie Murray kick),17,14
