,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Rafael Septien 28 yard field goal,0,3
1,1.0,Rams,Jewerl Thomas 1 yard rush,6,3
2,2.0,Cowboys,Rafael Septien 29 yard field goal,6,6
3,2.0,Rams,Preston Dennard 21 yard pass from Vince Ferragamo (Frank Corral kick),13,6
4,2.0,Cowboys,Tony Dorsett 12 yard rush (Rafael Septien kick),13,13
5,3.0,Cowboys,Tony Dorsett 10 yard pass from Danny White (Rafael Septien kick),13,20
6,3.0,Cowboys,Butch Johnson 35 yard pass from Danny White (Rafael Septien kick),13,27
7,4.0,Cowboys,Drew Pearson 11 yard pass from Danny White (Rafael Septien kick),13,34
