,Quarter,Tm,Detail,NOR,ATL
0,2.0,Falcons,Woody Thompson 17 yard rush (Fred Steinfort kick),0,7
1,2.0,Falcons,Haskel Stanback 2 yard rush (Fred Steinfort kick),0,14
2,2.0,Saints,Henry Childs 13 yard pass from Archie Manning (Rich Szaro kick),7,14
3,3.0,Falcons,Haskel Stanback 7 yard rush (Fred Steinfort kick),7,21
4,3.0,Falcons,Secdrick McIntyre 27 yard pass from Steve Bartkowski (Fred Steinfort kick),7,28
5,4.0,Falcons,Billy Ryckman 5 yard pass from Steve Bartkowski (Fred Steinfort kick),7,35
