,Quarter,Tm,Detail,SDG,SEA
0,1.0,Chargers,Rolf Benirschke 43 yard field goal,3,0
1,1.0,Chargers,Bobby Duckworth 61 yard pass from Dan Fouts (Rolf Benirschke kick),10,0
2,2.0,Seahawks,Eric Lane 1 yard rush (Norm Johnson kick),10,7
3,2.0,Seahawks,Norm Johnson 41 yard field goal,10,10
4,3.0,Seahawks,Dave Krieg 37 yard rush (Norm Johnson kick),10,17
5,4.0,Seahawks,Dave Krieg 3 yard rush (Norm Johnson kick),10,24
6,4.0,Seahawks,Daryl Turner 22 yard pass from Dave Krieg (Norm Johnson kick),10,31
7,4.0,Chargers,Eric Sievers 4 yard pass from Dan Fouts (Rolf Benirschke kick),17,31
