,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Steve Owens 2 yard rush (Errol Mann kick),7,0
1,1.0,Bears,Mac Percival 41 yard field goal,7,3
2,2.0,Lions,Altie Taylor 19 yard rush (Errol Mann kick),14,3
3,2.0,Lions,Mike Lucci 27 yard interception return (Errol Mann kick),21,3
4,3.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),28,3
