,Quarter,Tm,Detail,PIT,STL
0,1.0,Cardinals,Jim Bakken 44 yard field goal,0,3
1,1.0,Steelers,Lou Michaels 45 yard field goal,3,3
2,2.0,Steelers,Red Mack 83 yard pass from Ed Brown (Lou Michaels kick),10,3
3,2.0,Steelers,Lou Michaels 47 yard field goal,13,3
4,2.0,Steelers,Ed Brown 1 yard rush (Lou Michaels kick),20,3
5,3.0,Cardinals,Jackie Smith 10 yard pass from John David Crow (Jim Bakken kick),20,10
6,3.0,Steelers,Lou Michaels 46 yard field goal,23,10
7,4.0,Cardinals,Jackie Smith 55 yard pass from Charley Johnson (Jim Bakken kick),23,17
8,4.0,Cardinals,Bobby Joe Conrad 28 yard pass from Charley Johnson (Jim Bakken kick),23,24
