,Quarter,Tm,Detail,PIT,BUF
0,1.0,Bills,James Lofton 53 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,1.0,Bills,Scott Norwood 50 yard field goal,0,10
2,2.0,Steelers,Gary Anderson 25 yard field goal,3,10
3,2.0,Bills,Don Beebe 34 yard pass from Jim Kelly (Scott Norwood kick),3,17
4,2.0,Bills,Don Beebe 14 yard pass from Jim Kelly (Scott Norwood kick),3,24
5,2.0,Steelers,Barry Foster 56 yard rush (Gary Anderson kick),10,24
6,3.0,Bills,Andre Reed 14 yard pass from Jim Kelly (Scott Norwood kick),10,31
7,3.0,Steelers,Warren Williams 1 yard rush (Gary Anderson kick),17,31
8,3.0,Steelers,Bryan Hinkle 57 yard interception return (Gary Anderson kick),24,31
9,3.0,Steelers,Gary Anderson 27 yard field goal,27,31
10,4.0,Bills,Don Beebe 11 yard pass from Jim Kelly (Scott Norwood kick),27,38
11,4.0,Bills,Don Beebe 4 yard pass from Jim Kelly (Scott Norwood kick),27,45
12,4.0,Bills,Nate Odomes 32 yard interception return (Scott Norwood kick),27,52
13,4.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),34,52
