,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,7:14,Lions,Anquan Boldin 2 yard pass from Matthew Stafford (Matt Prater kick),0,7
1,1.0,0:40,Vikings,Matt Asiata 5 yard rush (Kai Forbath kick),7,7
2,2.0,6:45,Lions,Matt Prater 29 yard field goal,7,10
3,3.0,7:03,Vikings,Kai Forbath 30 yard field goal,10,10
4,4.0,12:38,Vikings,Kai Forbath 28 yard field goal,13,10
5,4.0,1:45,Lions,Matt Prater 48 yard field goal,13,13
6,4.0,0:00,Lions,Matt Prater 40 yard field goal,13,16
