,Quarter,Time,Tm,Detail,BAL,TAM
0,1.0,3:29,Buccaneers,Doug Brien 42 yard field goal,0,3
1,2.0,14:00,Ravens,Travis Taylor 14 yard pass from Elvis Grbac (Matt Stover kick),7,3
2,2.0,7:38,Buccaneers,Doug Brien 38 yard field goal,7,6
3,2.0,3:58,Buccaneers,Doug Brien 24 yard field goal,7,9
4,2.0,3:05,Buccaneers,Brad Johnson 1 yard rush (Doug Brien kick),7,16
5,4.0,13:26,Ravens,Matt Stover 24 yard field goal,10,16
6,4.0,1:35,Buccaneers,Mike Alstott 32 yard rush (pass failed),10,22
