,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Ickey Woods 5 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,Jim Breech 21 yard field goal,0,10
2,3.0,Bengals,Craig Taylor 1 yard rush (Jim Breech kick),0,17
3,3.0,Bengals,Barney Bussey 70 yard defensive fumble return (Jim Breech kick),0,24
4,4.0,Steelers,Gary Anderson 31 yard field goal,3,24
5,4.0,Bengals,Jim Breech 33 yard field goal,3,27
