,Quarter,Time,Tm,Detail,CLE,NYJ
0,2.0,11:01,Browns,Travis Benjamin 54 yard pass from Johnny Manziel (Travis Coons kick),7,0
1,2.0,9:41,Jets,Chris Ivory 10 yard rush (Nick Folk kick),7,7
2,2.0,2:46,Browns,Travis Coons 26 yard field goal,10,7
3,2.0,0:26,Jets,Eric Decker 15 yard pass from Ryan Fitzpatrick (Nick Folk kick),10,14
4,3.0,7:51,Jets,Brandon Marshall 1 yard pass from Ryan Fitzpatrick (Nick Folk kick),10,21
5,3.0,0:29,Jets,Nick Folk 34 yard field goal,10,24
6,4.0,10:38,Jets,Chris Ivory 3 yard rush (Nick Folk kick),10,31
