,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Bobby Mitchell 76 yard pass from Milt Plum,0,6
1,2.0,Browns,Jim Brown 30 yard rush (Lou Groza kick),0,13
2,3.0,Browns,Bobby Mitchell 15 yard pass from Milt Plum (Lou Groza kick),0,20
3,3.0,Redskins,Bill Anderson 28 yard pass from Ralph Guglielmi (Sam Baker kick),7,20
4,4.0,Browns,Preston Carpenter 12 yard pass from Milt Plum (Lou Groza kick),7,27
5,4.0,Browns,Ed Modzelewski 10 yard pass from Milt Plum (Lou Groza kick),7,34
