,Quarter,Tm,Detail,NWE,OAK
0,1.0,Patriots,John Smith 22 yard field goal,3,0
1,1.0,Raiders,Cliff Branch 67 yard pass from Ken Stabler (George Blanda kick),3,7
2,1.0,Patriots,John Smith 35 yard field goal,6,7
3,2.0,Raiders,Fred Biletnikoff 12 yard pass from Ken Stabler,6,13
4,2.0,Patriots,John Tarver 6 yard rush (John Smith kick),13,13
5,2.0,Raiders,Bob Moore 5 yard pass from Ken Stabler (George Blanda kick),13,20
6,3.0,Patriots,Randy Vataha 59 yard pass from Jim Plunkett,19,20
7,3.0,Raiders,Cliff Branch 19 yard pass from Ken Stabler (George Blanda kick),19,27
8,4.0,Raiders,Skip Thomas 22 yard interception return (George Blanda kick),19,34
9,4.0,Patriots,Al Marshall 17 yard pass from Jim Plunkett (John Smith kick),26,34
10,4.0,Raiders,Harold Hart 5 yard rush (George Blanda kick),26,41
