,Quarter,Time,Tm,Detail,BAL,NWE
0,1,6:28,Ravens,Billy Cundiff 26 yard field goal,3,0
1,1,0:25,Patriots,BenJarvus Green-Ellis 2 yard rush (Stephen Gostkowski kick),3,7
2,2,11:47,Ravens,Todd Heap 16 yard pass from Joe Flacco (Billy Cundiff kick),10,7
3,3,10:23,Ravens,Anquan Boldin 25 yard pass from Joe Flacco (Billy Cundiff kick),17,7
4,3,6:40,Patriots,Stephen Gostkowski 38 yard field goal,17,10
5,4,14:53,Ravens,Billy Cundiff 25 yard field goal,20,10
6,4,11:02,Patriots,Deion Branch 5 yard pass from Tom Brady (Stephen Gostkowski kick),20,17
7,4,1:51,Patriots,Stephen Gostkowski 24 yard field goal,20,20
8,OT,1:56,Patriots,Stephen Gostkowski 35 yard field goal,20,23
