,Quarter,Tm,Detail,WAS,NOR
0,1.0,Redskins,Chip Lohmiller 48 yard field goal,3,0
1,1.0,Saints,Lonzell Hill 11 yard pass from Bobby Hebert (Morten Andersen kick),3,7
2,2.0,Saints,Dalton Hilliard 3 yard rush (Morten Andersen kick),3,14
3,3.0,Redskins,Chip Lohmiller 19 yard field goal,6,14
4,3.0,Redskins,Gerald Riggs 9 yard rush (Chip Lohmiller kick),13,14
5,4.0,Redskins,Chip Lohmiller 18 yard field goal,16,14
