,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Bobby Howfield 40 yard field goal,3,0
1,3.0,Jets,Bobby Howfield 39 yard field goal,6,0
2,3.0,Patriots,Will Foster special teams fumble recovery in end zone (Jeff White kick),6,7
3,4.0,Jets,Bobby Howfield 22 yard field goal,9,7
