,Quarter,Tm,Detail,TAM,RAM
0,1.0,Rams,Rafael Septien 31 yard field goal,0,3
1,2.0,Rams,Harold Jackson 51 yard pass from Pat Haden (Rafael Septien kick),0,10
2,2.0,Rams,Lawrence McCutcheon 4 yard pass from Pat Haden (Rafael Septien kick),0,17
3,3.0,Rams,Jim Young 25 yard interception return (Rafael Septien kick),0,24
4,4.0,Rams,Jim Jodat 1 yard rush (Rafael Septien kick),0,31
