,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Donny Anderson 2 yard pass from Jim Hart (Jim Bakken kick),7,0
1,1.0,Cardinals,Donny Anderson 4 yard rush (Jim Bakken kick),14,0
2,1.0,Cardinals,Mel Gray 40 yard pass from Jim Hart (Jim Bakken kick),21,0
3,1.0,Eagles,Tom Dempsey 36 yard field goal,21,3
4,2.0,Cardinals,Jim Bakken 17 yard field goal,24,3
5,2.0,Eagles,Tom Dempsey 44 yard field goal,24,6
6,3.0,Eagles,Harold Carmichael 6 yard pass from Roman Gabriel (Tom Dempsey kick),24,13
7,3.0,Eagles,Tom Dempsey 27 yard field goal,24,16
8,4.0,Eagles,Tom Bailey 4 yard pass from Roman Gabriel (Tom Dempsey kick),24,23
9,4.0,Cardinals,Jim Bakken 20 yard field goal,27,23
10,4.0,Cardinals,Donny Anderson 26 yard rush (Jim Bakken kick),34,23
