,Quarter,Time,Tm,Detail,WAS,OAK
0,1.0,,Redskins,Stephen Davis 19 yard pass from Trent Green (Cary Blanchard kick),7,0
1,1.0,,Raiders,Napoleon Kaufman 23 yard rush (Greg Davis kick),7,7
2,2.0,,Redskins,Leslie Shepherd 43 yard pass from Trent Green (Cary Blanchard kick),14,7
3,2.0,,Redskins,Cary Blanchard 28 yard field goal,17,7
4,3.0,,Redskins,"Safety, Boutte sacked Hollas in end zone",19,7
5,4.0,,Redskins,Stephen Alexander 2 yard pass from Trent Green (Cary Blanchard kick),26,7
6,4.0,,Raiders,Terry Mickens 12 yard pass from Donald Hollas (pass failed),26,13
7,4.0,,Redskins,Cary Blanchard 47 yard field goal,29,13
8,4.0,1:38,Raiders,Tim Brown 2 yard pass from Donald Hollas (pass failed),29,19
