,Quarter,Time,Tm,Detail,WAS,SEA
0,1.0,15:00,Seahawks,Steve Broussard 90 yard kickoff return (Todd Peterson kick),0,7
1,1.0,15:00,Redskins,Michael Westbrook 36 yard pass from Trent Green (David Akers kick),7,7
2,2.0,1:14,Seahawks,Todd Peterson 32 yard field goal,7,10
3,3.0,1:14,Seahawks,Ricky Watters 13 yard rush (Todd Peterson kick),7,17
4,3.0,1:14,Seahawks,Mike Pritchard 21 yard pass from Warren Moon (Todd Peterson kick),7,24
5,4.0,0:39,Redskins,Michael Westbrook 26 yard pass from Trent Green (David Akers kick),14,24
