,Quarter,Tm,Detail,CAN,POT
0,2.0,Maroons,Hoot Flanagan 5 yard rush (Charlie Berry kick),0,7
1,3.0,Maroons,Charlie Berry blocked punt recovery in end zone (Charlie Berry kick),0,14
2,3.0,Maroons,Hoot Flanagan 1 yard rush (Charlie Berry kick),0,21
3,4.0,Maroons,Tony Latone 1 yard rush (Charlie Berry kick),0,28
