,Quarter,Tm,Detail,PIT,CHI
0,1,Bears,Kevin Butler 39 yard field goal,0,3
1,2,Steelers,Gary Anderson 30 yard field goal,3,3
2,3,Steelers,Preston Gothard 12 yard pass from Harry Newsome (Gary Anderson kick),10,3
3,4,Bears,Walter Payton 3 yard rush (Kevin Butler kick),10,10
4,OT,Bears,Kevin Butler 42 yard field goal,10,13
