,Quarter,Time,Tm,Detail,NOR,SEA
0,1.0,12:19,Saints,Deonte Harris 53 yard punt return (Wil Lutz kick),7,0
1,1.0,2:29,Seahawks,Tyler Lockett 8 yard pass from Russell Wilson (Jason Myers kick),7,7
2,2.0,7:05,Saints,Vonn Bell 33 yard fumble return (Wil Lutz kick failed),13,7
3,2.0,0:42,Saints,Alvin Kamara 29 yard pass from Teddy Bridgewater (Wil Lutz kick),20,7
4,3.0,7:47,Saints,Michael Thomas 1 yard pass from Teddy Bridgewater (Wil Lutz kick),27,7
5,4.0,11:56,Seahawks,Russell Wilson 2 yard rush (Jason Myers kick),27,14
6,4.0,4:22,Saints,Alvin Kamara 1 yard rush (run failed),33,14
7,4.0,2:55,Seahawks,Russell Wilson 8 yard rush (Jason Myers kick),33,21
8,4.0,0:00,Seahawks,Will Dissly 4 yard pass from Russell Wilson,33,27
