,Quarter,Tm,Detail,HOU,NOR
0,1.0,Oilers,Haywood Jeffires 6 yard pass from Warren Moon (Al Del Greco kick),7,0
1,1.0,Saints,Morten Andersen 28 yard field goal,7,3
2,2.0,Saints,Dalton Hilliard 2 yard rush (Morten Andersen kick),7,10
3,2.0,Saints,Morten Andersen 37 yard field goal,7,13
4,3.0,Saints,Morten Andersen 18 yard field goal,7,16
5,3.0,Saints,Morten Andersen 47 yard field goal,7,19
6,4.0,Saints,Frank Warren 47 yard defensive fumble return (Morten Andersen kick),7,26
7,4.0,Saints,Derek Brown 2 yard rush (Morten Andersen kick),7,33
8,4.0,Oilers,Cody Carlson 1 yard rush (Al Del Greco kick),14,33
9,4.0,Oilers,Marcus Robertson 80 yard defensive fumble return (Al Del Greco kick),21,33
