,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Brent Fullwood 3 yard rush (Chris Jacke kick),0,7
1,2.0,Buccaneers,Lars Tate 2 yard rush (Donald Igwebuike kick),7,7
2,2.0,Buccaneers,Lars Tate 1 yard rush (Donald Igwebuike kick),14,7
3,2.0,Buccaneers,William Howard 9 yard pass from Vinny Testaverde,20,7
4,3.0,Packers,Ed West 11 yard pass from Don Majkowski (Chris Jacke kick),20,14
5,3.0,Buccaneers,Donald Igwebuike 52 yard field goal,23,14
6,4.0,Packers,Carl Bland offensive fumble recovery in end zone (Chris Jacke kick),23,21
