,Quarter,Tm,Detail,DAL,DEN
0,1.0,Broncos,Matt Robinson 1 yard rush (Fred Steinfort kick),0,7
1,2.0,Broncos,Fred Steinfort 46 yard field goal,0,10
2,2.0,Broncos,Matt Robinson 3 yard rush (Fred Steinfort kick),0,17
3,2.0,Cowboys,Tony Hill 36 yard pass from Danny White (Rafael Septien kick),7,17
4,2.0,Broncos,Bill Thompson 32 yard defensive fumble return (Fred Steinfort kick),7,24
5,2.0,Cowboys,Rafael Septien 30 yard field goal,10,24
6,3.0,Cowboys,Rafael Septien 37 yard field goal,13,24
7,3.0,Broncos,Otis Armstrong 3 yard rush (Fred Steinfort kick),13,31
8,3.0,Broncos,Jim Jensen 4 yard rush (Fred Steinfort kick),13,38
9,4.0,Cowboys,Tony Hill 22 yard pass from Danny White (Rafael Septien kick),20,38
10,4.0,Broncos,Fred Steinfort 55 yard field goal,20,41
