,Quarter,Tm,Detail,BAL,CLE
0,1.0,Colts,R.C. Owens 24 yard pass from Johnny Unitas (Dick Bielski kick),7,0
1,1.0,Colts,Tom Matte 18 yard pass from Johnny Unitas,13,0
2,2.0,Colts,Dick Bielski 4 yard pass from Tom Matte (Wendell Harris kick),20,0
3,2.0,Colts,Wendell Harris 17 yard field goal,23,0
4,3.0,Browns,Jim Brown 53 yard pass from Jim Ninowski (Lou Groza kick),23,7
5,4.0,Browns,Rich Kreitling 18 yard pass from Jim Ninowski (Lou Groza kick),23,14
6,4.0,Colts,R.C. Owens 9 yard pass from Johnny Unitas,29,14
7,4.0,Colts,Ordell Braase 10 yard defensive fumble return (Dick Bielski kick),36,14
