,Quarter,Time,Tm,Detail,NOR,ARI
0,1.0,,Cardinals,Chris Jacke 21 yard field goal,0,3
1,2.0,12:02,Saints,Sammy Knight 39 yard interception return (Doug Brien kick),7,3
2,2.0,12:02,Cardinals,Chris Jacke 38 yard field goal,7,6
3,2.0,0:04,Saints,Doug Brien 28 yard field goal,10,6
4,3.0,0:04,Cardinals,Adrian Murrell 29 yard rush (Chris Jacke kick),10,13
5,4.0,0:04,Cardinals,Chris Jacke 46 yard field goal,10,16
6,4.0,1:27,Saints,Cam Cleeland 13 yard pass from Kerry Collins (Doug Brien kick),17,16
7,4.0,0:06,Cardinals,Chris Jacke 36 yard field goal,17,19
