,Quarter,Time,Tm,Detail,IND,HOU
0,2.0,10:51,Colts,Mike Vanderjagt 39 yard field goal,3,0
1,2.0,5:23,Texans,Domanick Williams 11 yard rush (Kris Brown kick),3,7
2,2.0,1:49,Texans,Kris Brown 36 yard field goal,3,10
3,3.0,10:34,Texans,Domanick Williams 13 yard rush (Kris Brown kick),3,17
4,4.0,14:57,Colts,Edgerrin James 6 yard rush (Mike Vanderjagt kick),10,17
5,4.0,3:50,Colts,Brandon Stokley 5 yard pass from Peyton Manning (Mike Vanderjagt kick),17,17
6,4.0,0:00,Colts,Mike Vanderjagt 43 yard field goal,20,17
