,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Bill Karr 49 yard pass from Carl Brumbaugh (Jack Manders kick),0,7
1,1.0,Bears,Bronko Nagurski unknown yard rush (Jack Manders kick),0,14
2,3.0,Bears,Carl Brumbaugh 11 yard pass from Beattie Feathers (Jack Manders kick),0,21
3,4.0,Giants,Harry Newman 4 yard rush (Harry Newman kick),7,21
4,4.0,Bears,Red Grange 36 yard pass from George Corbett,7,27
