,Quarter,Tm,Detail,SDG,SFO
0,1.0,49ers,Gene Washington 13 yard pass from John Brodie (Bruce Gossett kick),0,7
1,1.0,Chargers,Dennis Partee 30 yard field goal,3,7
2,2.0,49ers,Bruce Gossett 43 yard field goal,3,10
3,2.0,49ers,Gene Washington 23 yard pass from John Brodie (Bruce Gossett kick),3,17
4,2.0,49ers,Gene Washington 45 yard pass from John Brodie (Bruce Gossett kick),3,24
5,3.0,49ers,Jimmy Thomas 4 yard rush (Bruce Gossett kick),3,31
6,4.0,49ers,Bruce Gossett 20 yard field goal,3,34
