,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Gary Anderson 45 yard field goal,3,0
1,2.0,Oilers,Tony Zendejas 36 yard field goal,3,3
2,2.0,Steelers,Dwight Stone 92 yard kickoff return (Gary Anderson kick),10,3
3,2.0,Oilers,Mike Rozier 6 yard pass from Warren Moon (Tony Zendejas kick),10,10
4,2.0,Oilers,Tony Zendejas 41 yard field goal,10,13
5,2.0,Steelers,Louis Lipps 80 yard pass from Bubby Brister (Gary Anderson kick),17,13
6,3.0,Steelers,Louis Lipps 65 yard pass from Bubby Brister (Gary Anderson kick),24,13
7,3.0,Oilers,Lorenzo White 90 yard kickoff return (Tony Zendejas kick),24,20
8,3.0,Oilers,Warren Moon 2 yard rush (Tony Zendejas kick),24,27
9,4.0,Steelers,Merril Hoge 2 yard rush (Gary Anderson kick),31,27
10,4.0,Oilers,Warren Moon 3 yard rush (Tony Zendejas kick),31,34
11,4.0,Steelers,Merril Hoge 16 yard pass from Bubby Brister,37,34
