,Quarter,Tm,Detail,DEN,PIT
0,1.0,Broncos,Jim Turner 37 yard field goal,3,0
1,1.0,Steelers,Franco Harris 1 yard rush,3,6
2,2.0,Steelers,Franco Harris 18 yard rush (Roy Gerela kick),3,13
3,2.0,Steelers,Roy Gerela 24 yard field goal,3,16
4,2.0,Broncos,Dave Preston 3 yard rush (Jim Turner kick),10,16
5,2.0,Steelers,Roy Gerela 27 yard field goal,10,19
6,4.0,Steelers,John Stallworth 45 yard pass from Terry Bradshaw (Roy Gerela kick),10,26
7,4.0,Steelers,Lynn Swann 38 yard pass from Terry Bradshaw (Roy Gerela kick),10,33
