,Quarter,Time,Tm,Detail,WAS,MIA
0,1.0,8:20,Dolphins,Reggie Bush 1 yard rush (Dan Carpenter kick),0,7
1,1.0,0:49,Redskins,Graham Gano 26 yard field goal,3,7
2,2.0,10:27,Dolphins,Dan Carpenter 21 yard field goal,3,10
3,2.0,1:07,Redskins,Graham Gano 47 yard field goal,6,10
4,3.0,10:38,Redskins,Graham Gano 23 yard field goal,9,10
5,3.0,4:59,Dolphins,Dan Carpenter 28 yard field goal,9,13
6,4.0,6:07,Dolphins,Reggie Bush 18 yard rush (Dan Carpenter kick),9,20
