,Quarter,Tm,Detail,CRD,DET
0,1.0,Lions,Lloyd Cardwell 70 yard rush (Monk Moscrip kick),0,7
1,2.0,Lions,Monk Moscrip 67 yard fumble return (Monk Moscrip kick),0,14
2,4.0,Lions,Johnny Pingel 3 yard rush (Monk Moscrip kick),0,21
3,4.0,Cardinals,Bill Smith 46 yard pass from Jack Robbins,6,21
4,4.0,Cardinals,Bill Smith 30 yard pass from Jack Robbins (Bill Smith kick),13,21
