,Quarter,Tm,Detail,DEN,DET
0,1.0,Lions,Richard Johnson 11 yard pass from Bob Gagliano (Eddie Murray kick),0,7
1,1.0,Broncos,Mel Bratton 1 yard rush (David Treadwell kick),7,7
2,1.0,Lions,Barry Sanders 7 yard rush (Eddie Murray kick),7,14
3,1.0,Lions,Richard Johnson 43 yard pass from Bob Gagliano (Eddie Murray kick),7,21
4,2.0,Lions,Eddie Murray 24 yard field goal,7,24
5,2.0,Broncos,David Treadwell 24 yard field goal,10,24
6,2.0,Broncos,Wymon Henderson 49 yard interception return (David Treadwell kick),17,24
7,2.0,Lions,Eddie Murray 32 yard field goal,17,27
8,3.0,Broncos,David Treadwell 32 yard field goal,20,27
9,3.0,Lions,Barry Sanders 35 yard pass from Bob Gagliano (Eddie Murray kick),20,34
10,4.0,Broncos,Mel Bratton 1 yard rush (David Treadwell kick),27,34
11,4.0,Lions,Eddie Murray 43 yard field goal,27,37
12,4.0,Lions,Eddie Murray 45 yard field goal,27,40
