,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Tommy Davis 25 yard field goal,3,0
1,1.0,49ers,Dick Witcher 37 yard pass from George Mira (Tommy Davis kick),10,0
2,1.0,49ers,Doug Cunningham 7 yard rush (Tommy Davis kick),17,0
3,2.0,Falcons,Junior Coffey 4 yard rush (Wade Traynham kick),17,7
4,2.0,49ers,Sonny Randle 7 yard pass from George Mira (Tommy Davis kick),24,7
5,3.0,49ers,Tommy Davis 49 yard field goal,27,7
6,3.0,Falcons,Ray Ogden 82 yard pass from Randy Johnson (Wade Traynham kick),27,14
7,3.0,Falcons,Gary Barnes 13 yard pass from Randy Johnson (Wade Traynham kick),27,21
8,4.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),34,21
9,4.0,Falcons,Jerry Simmons 21 yard pass from Randy Johnson (Wade Traynham kick),34,28
