,Quarter,Tm,Detail,IND,PIT
0,1.0,Steelers,Louis Lipps 7 yard pass from Mark Malone (Gary Anderson kick),0,7
1,1.0,Colts,Raul Allegre 39 yard field goal,3,7
2,2.0,Steelers,Louis Lipps 11 yard pass from Mark Malone (Gary Anderson kick),3,14
3,2.0,Steelers,Gary Anderson 31 yard field goal,3,17
4,2.0,Steelers,Rich Erenberg 11 yard pass from Mark Malone (Gary Anderson kick),3,24
5,3.0,Steelers,John Stallworth 6 yard pass from Mark Malone (Gary Anderson kick),3,31
6,4.0,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),3,38
7,4.0,Steelers,Louis Lipps 16 yard pass from Mark Malone (Gary Anderson kick),3,45
