,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Dale Livingston 9 yard field goal,3,0
1,2.0,49ers,Bob Windsor 6 yard pass from John Brodie (Bruce Gossett kick),3,7
2,2.0,Packers,Jack Clancy 33 yard pass from Don Horn (Dale Livingston kick),10,7
3,2.0,49ers,Bruce Gossett 12 yard field goal,10,10
4,3.0,49ers,Doug Cunningham 6 yard rush (Bruce Gossett kick),10,17
5,3.0,49ers,Bruce Gossett 24 yard field goal,10,20
6,4.0,49ers,Bruce Gossett 41 yard field goal,10,23
7,4.0,49ers,Bruce Gossett 36 yard field goal,10,26
