,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Rich Caster 15 yard pass from Al Woodall (Jim Turner kick),7,0
1,2.0,Colts,Eddie Hinton 25 yard pass from Earl Morrall (Jim O'Brien kick),7,7
2,2.0,Jets,Larry Grantham 41 yard interception return (Jim Turner kick),14,7
3,2.0,Colts,Eddie Hinton 7 yard pass from Earl Morrall (Jim O'Brien kick),14,14
4,3.0,Colts,Jimmy Orr 18 yard pass from Earl Morrall (Jim O'Brien kick),14,21
5,3.0,Jets,Jim Turner 25 yard field goal,17,21
6,4.0,Jets,Jim Turner 29 yard field goal,20,21
7,4.0,Colts,Ray Perkins 41 yard pass from Earl Morrall (Jim O'Brien kick),20,28
8,4.0,Colts,Ted Hendricks special teams fumble recovery in end zone (Jim O'Brien kick),20,35
