,Quarter,Time,Tm,Detail,SDG,BAL
0,1.0,3:35,Ravens,Matt Stover 32 yard field goal,0,3
1,2.0,4:16,Ravens,Qadry Ismail 28 yard pass from Trent Dilfer (Matt Stover kick),0,10
2,2.0,0:48,Chargers,John Carney 47 yard field goal,3,10
3,3.0,10:47,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),3,17
4,3.0,4:51,Ravens,Brandon Stokley 22 yard pass from Trent Dilfer (Matt Stover kick),3,24
