,Quarter,Time,Tm,Detail,BUF,CLE
0,1.0,,Bills,Justin Armour 14 yard pass from Jim Kelly (Steve Christie kick),7,0
1,1.0,,Browns,Derrick Alexander 69 yard punt return (Matt Stover kick),7,7
2,1.0,,Bills,Steve Christie 38 yard field goal,10,7
3,2.0,,Browns,Matt Stover 32 yard field goal,10,10
4,3.0,,Bills,Steve Christie 31 yard field goal,13,10
5,3.0,,Browns,Matt Stover 47 yard field goal,13,13
6,3.0,,Browns,Matt Stover 23 yard field goal,13,16
7,4.0,,Bills,Andre Reed 41 yard pass from Jim Kelly,19,16
8,4.0,,Browns,Matt Stover 38 yard field goal,19,19
9,4.0,,Bills,Steve Christie 33 yard field goal,22,19
