,Quarter,Time,Tm,Detail,ATL,DET
0,1.0,,Falcons,Morten Andersen 30 yard field goal,3,0
1,2.0,,Lions,Herman Moore 43 yard pass from Scott Mitchell (Jason Hanson kick),3,7
2,2.0,,Falcons,Michael Haynes 24 yard pass from Chris Chandler (Morten Andersen kick),10,7
3,2.0,6:12,Lions,Stephen Boyd 42 yard defensive fumble return (Jason Hanson kick),10,14
4,4.0,6:12,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),17,14
5,4.0,6:12,Lions,Herman Moore 25 yard pass from Scott Mitchell (Jason Hanson kick),17,21
6,4.0,6:12,Lions,Reggie Brown 38 yard interception return (Jason Hanson kick),17,28
