,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Ed Sutton 4 yard rush (Sam Baker kick),7,0
1,1.0,Redskins,Jim Podoley 10 yard pass from Eddie LeBaron (Sam Baker kick),14,0
2,2.0,Bears,George Blanda 49 yard field goal,14,3
