,Quarter,Time,Tm,Detail,SFO,ARI
0,1.0,10:37,49ers,Phil Dawson 27 yard field goal,3,0
1,1.0,8:33,49ers,Anquan Boldin 4 yard pass from Colin Kaepernick (Phil Dawson kick),10,0
2,1.0,0:52,49ers,Vernon Davis 3 yard pass from Colin Kaepernick (Phil Dawson kick),17,0
3,2.0,4:46,Cardinals,Jake Ballard 1 yard pass from Carson Palmer (Jay Feely kick),17,7
4,4.0,14:47,Cardinals,Jay Feely 49 yard field goal,17,10
5,4.0,3:20,Cardinals,Andre Roberts 34 yard pass from Carson Palmer (Jay Feely kick),17,17
6,4.0,1:45,49ers,Phil Dawson 56 yard field goal,20,17
7,4.0,0:29,Cardinals,Jay Feely 43 yard field goal,20,20
8,4.0,0:00,49ers,Phil Dawson 40 yard field goal,23,20
