,Quarter,Tm,Detail,KAN,BRL
0,1.0,Cowboys,Al Bloodgood 20 yard field goal,3,0
1,2.0,Lions,Rex Thomas 12 yard rush,3,6
2,4.0,Lions,Matt Brennan unknown yard field goal,3,9
3,4.0,Cowboys,Al Bloodgood unknown yard rush (Al Bloodgood kick),10,9
